author,date,text
bagaskp_6,2019-08-20 02:48:43,RT @arishazmann: Indonesia tak pernah mengecewakan  https://t.co/OtkQezbU9U
BaaaaaKekokk,2019-08-20 02:48:43,"RT @exelflores21: Ahok : MUI terbitkan Fatwa Ahok Menista Agama.
UAS : MUI Nilai UAS Tak Bermaksud Mencela Agama Lain.

Note : Ahok dan UAS"
jambulputih2017,2019-08-20 02:48:43,"RT @Khoirudin_Gala: Mari kita jaga persatuan dan kesatuan Indonesia dari Sabang sampai Merauke, dari Miangas sampai Rote

#KitaSemuaBersaud"
Plissken1924,2019-08-20 02:48:44,"RT @prageru: Which country puts the most plastic in the ocean? 

Hint: It's NOT the U.S.

Pollution in annual metric tons:

China: 8.8m"
CJISUunt,2019-08-20 02:48:44,"Alaina berhenti sejenak untuk membuka instagram, ia melihat story teman-temannya yang ada di Indonesia, lalu terbes https://t.co/VkaBrzwnso"
LeahOneScoop,2019-08-20 02:48:44,"RT @prageru: Which country puts the most plastic in the ocean? 

Hint: It's NOT the U.S.

Pollution in annual metric tons:

China: 8.8m"
as_ndari,2019-08-20 02:48:45,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
kessyheneva3,2019-08-20 02:48:45,"RT @GrabID: Hormat buat semangat surat cinta kemerdekaan dari kamu buat Indonesia, merdeka dari Apatis, Radikalisme, Intoleransi, Sampah, P"
TriYuliBudiUto2,2019-08-20 02:48:45,"RT @EkoSuprastio7: Mari kita jaga persatuan dan kesatuan Indonesia dari Sabang sampai Merauke, dari Miangas sampai Rote

Kita semua bersaud"
CebongKafir,2019-08-20 02:48:46,@djun_bang @DivHumas_Polri @BareskrimPolri @TjahjantoHadi @puan_maharani @chicohakim @evndari @bangzul_1988 https://t.co/tzmDlCRzkb
KurniawanRicho,2019-08-20 02:48:47,RT @kumparan: Memek masuk dalam empat karya budaya yang masuk WBTB. https://t.co/DNtCvElpRX
serlyellysan_,2019-08-20 02:48:48,"RT @bernardagapa: Siapa bilang hanya ormas sja yang rasis, Aparat Indonesia juga SANGAT RASIS!!!

https://t.co/gr0wQtvuTc"
ASSyahid7,2019-08-20 02:48:48,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
hima_bki_iainta,2019-08-20 02:48:49,"[HIMPUNAN MAHASISWA JURUSAN BIMBINGAN KONSELING ISLAM]
Salam Konselor..
Agustus Ceria Bersama
Menuju SDM UNGGUL IN https://t.co/ZbWR6q9RKI"
lalalalale_,2019-08-20 02:48:50,"RT @serahlumett: Boas Salossa (orang papua) pernah patah kaki 2x karena membela timnas Indonesia, ""bukan membela Persipura"". 

Boas Salossa"
GuiSantiagoss,2019-08-20 02:48:50,"RT @stef_crf: na fase que eu to, eu pularia com certeza https://t.co/m2nPLPoR6B"
Kules36646063,2019-08-20 02:48:51,"RT @Azzarenkagabril: di london ajah bs saling menghargai antar umat beragama..
masa kita nggak..??

di saat konser music berlangsung dan wa"
odotbro,2019-08-20 02:48:50,RT @arishazmann: Indonesia tak pernah mengecewakan  https://t.co/OtkQezbU9U
hiforjeen,2019-08-20 02:48:51,RT @aerizenxxra: NO OFFENSE BUT MEETING NCT DREAM IN INDONESIA ACTUALLY SUCKS https://t.co/wnUEUX0Zls
lidyaidesma,2019-08-20 02:48:51,RT @arishazmann: Indonesia tak pernah mengecewakan  https://t.co/OtkQezbU9U
ABudima68828545,2019-08-20 02:48:51,"RT @Anggraini_4yu: SUMBER FITNAH UMAT

Ini Orang Kalo Ga Segera Ditangkap membahayakan Kerukunan Umat Beragama di Indonesia

Liat Aja Kelak"
NathaliaDhewi,2019-08-20 02:48:52,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
MinLm98,2019-08-20 02:48:52,RT @arishazmann: Indonesia tak pernah mengecewakan  https://t.co/OtkQezbU9U
